iter	RMSE
0	27.96657659
1	27.09445036
2	26.29708433
3	25.54164994
4	24.79215475
5	24.18759738
6	23.51707029
7	22.89672453
8	22.36410971
9	21.86009202
10	21.38649581
11	20.91410387
12	20.46616918
13	20.02667627
14	19.62249756
15	19.18259579
16	18.79207895
17	18.45984107
18	18.16525301
19	17.87907949
20	17.59687776
21	17.3397551
22	17.10591346
23	16.87407477
24	16.60483883
25	16.36945324
26	16.19223913
27	16.0090374
28	15.85747737
29	15.69447258
30	15.54771137
31	15.39131382
32	15.24927695
33	15.10632889
34	14.97344211
35	14.84969218
36	14.71933982
37	14.61948913
38	14.47345185
39	14.3420896
40	14.17625691
41	14.07354186
42	13.97625478
43	13.88330993
44	13.79443289
45	13.69512391
46	13.59734554
47	13.51570163
48	13.43307283
49	13.31880095
50	13.22074724
51	13.14801702
52	13.07524078
53	12.97509799
54	12.92168408
55	12.86494019
56	12.8109829
57	12.73433801
58	12.66518667
59	12.57069705
60	12.50317176
61	12.46314617
62	12.42356723
63	12.37823163
64	12.29903886
65	12.20387232
66	12.17296552
67	12.12006509
68	12.05809808
69	12.00575236
70	11.9423546
71	11.89208304
72	11.82769152
73	11.76611648
74	11.73585969
75	11.67928251
76	11.62352278
77	11.57246896
78	11.51652404
79	11.4523157
80	11.41980227
81	11.3587687
82	11.31794249
83	11.28821264
84	11.27206769
85	11.2165356
86	11.16827714
87	11.14431977
88	11.0962737
89	11.05406426
90	11.03121376
91	10.99953769
92	10.94900279
93	10.91861556
94	10.9011599
95	10.85120446
96	10.82838905
97	10.7648481
98	10.72001313
99	10.69416484
100	10.66636072
101	10.65528858
102	10.61049682
103	10.57837625
104	10.53211997
105	10.52430474
106	10.48063559
107	10.45039368
108	10.42447481
109	10.37671838
110	10.3434479
111	10.31443571
112	10.30542488
113	10.28145059
114	10.25596365
115	10.22290356
116	10.20448079
117	10.18390168
118	10.15238119
119	10.11586815
120	10.1038749
121	10.03963517
122	10.01673606
123	9.994383128
124	9.976405905
125	9.941421999
126	9.920757672
127	9.902575386
128	9.873657232
129	9.810514744
130	9.79700407
131	9.781163891
132	9.757744083
133	9.712322471
134	9.674012379
135	9.640129132
136	9.623538382
137	9.584567009
138	9.569690697
139	9.533538777
140	9.501680611
141	9.47015955
142	9.416205578
143	9.386849827
144	9.357001037
145	9.335099328
146	9.310057517
147	9.280491618
148	9.253266679
149	9.203500183
150	9.174116889
151	9.126042228
152	9.106285981
153	9.061074951
154	9.026675026
155	9.009641129
156	8.956514776
157	8.938196515
158	8.912358139
159	8.887317534
160	8.86794547
161	8.837311125
162	8.808824723
163	8.788250907
164	8.764742047
165	8.746824645
166	8.719527624
167	8.714748649
168	8.706852154
169	8.688149356
170	8.680779381
171	8.667159621
172	8.656722361
173	8.631568151
174	8.608977887
175	8.573079918
176	8.560215532
177	8.542544165
178	8.526467529
179	8.518383613
180	8.461250396
181	8.445272589
182	8.405321023
183	8.36575053
184	8.338950355
185	8.334361509
186	8.310874117
187	8.277019767
188	8.244197557
189	8.230693137
190	8.188157774
191	8.150605505
192	8.114424254
193	8.077323477
194	8.036830438
195	8.004689318
196	7.959421074
197	7.937190227
198	7.908671546
199	7.888896145
