iter	Passed	Remaining
0	6	1311
1	12	1207
2	17	1175
3	24	1179
4	31	1229
5	37	1215
6	44	1215
7	50	1204
8	55	1186
9	61	1171
10	67	1166
11	73	1154
12	79	1144
13	85	1134
14	91	1122
15	96	1114
16	102	1107
17	108	1096
18	114	1086
19	119	1074
20	125	1065
21	130	1057
22	136	1049
23	141	1039
24	147	1031
25	152	1023
26	158	1016
27	164	1009
28	169	1002
29	175	995
30	181	990
31	187	983
32	192	975
33	198	968
34	203	960
35	209	955
36	215	948
37	221	943
38	227	937
39	232	929
40	238	924
41	243	917
42	249	911
43	255	904
44	260	897
45	266	892
46	271	884
47	277	878
48	282	871
49	288	864
50	293	857
51	299	851
52	304	844
53	310	838
54	315	832
55	321	827
56	327	822
57	334	817
58	339	812
59	345	806
60	351	801
61	357	795
62	362	789
63	368	782
64	373	776
65	378	769
66	384	762
67	389	756
68	395	750
69	401	745
70	407	739
71	412	733
72	418	727
73	423	721
74	429	715
75	434	708
76	439	702
77	445	697
78	451	690
79	456	684
80	461	678
81	467	672
82	472	666
83	481	664
84	492	665
85	501	664
86	508	659
87	513	653
88	519	647
89	525	641
90	531	636
91	537	630
92	543	624
93	549	619
94	554	613
95	560	606
96	565	600
97	571	594
98	576	588
99	582	582
100	587	575
101	592	569
102	597	562
103	603	556
104	608	550
105	613	543
106	618	537
107	623	531
108	628	525
109	634	518
110	639	512
111	644	506
112	650	500
113	655	494
114	661	488
115	666	482
116	672	476
117	678	471
118	683	464
119	688	458
120	693	452
121	698	446
122	704	440
123	710	435
124	715	429
125	721	423
126	726	417
127	732	412
128	738	406
129	744	400
130	749	394
131	754	388
132	760	383
133	766	377
134	772	371
135	777	365
136	782	359
137	788	354
138	793	348
139	799	342
140	804	336
141	809	330
142	815	324
143	820	319
144	825	313
145	831	307
146	836	301
147	842	295
148	848	290
149	853	284
150	858	278
151	864	273
152	870	267
153	875	261
154	880	255
155	885	249
156	891	244
157	896	238
158	901	232
159	907	226
160	912	221
161	918	215
162	923	209
163	929	203
164	934	198
165	939	192
166	945	186
167	950	181
168	956	175
169	961	169
170	966	163
171	972	158
172	977	152
173	982	146
174	987	141
175	993	135
176	998	129
177	1003	124
178	1008	118
179	1014	112
180	1019	107
181	1024	101
182	1030	95
183	1035	90
184	1041	84
185	1046	78
186	1052	73
187	1057	67
188	1062	61
189	1068	56
190	1073	50
191	1079	44
192	1084	39
193	1091	33
194	1096	28
195	1102	22
196	1108	16
197	1113	11
198	1120	5
199	1125	0
