model,horizon,mae,rmse,r2
XGBoost,24h,11.9995,15.7247,0.7454
LightGBM,24h,11.9252,15.6319,0.7484
CatBoost,24h,11.6349,15.2815,0.7595
RandomForest,24h,12.152,15.8556,0.7411
StackingRegressor,24h,11.8626,15.5493,0.751
XGBoost,48h,16.3698,21.2506,0.5368
LightGBM,48h,16.2946,21.2636,0.5362
CatBoost,48h,16.0056,20.7584,0.558
RandomForest,48h,17.1373,22.0903,0.4995
StackingRegressor,48h,16.324,21.156,0.5409
XGBoost,72h,17.9713,23.8065,0.4183
LightGBM,72h,17.852,23.8105,0.4181
CatBoost,72h,17.5272,23.2421,0.4455
RandomForest,72h,18.8964,24.5614,0.3808
StackingRegressor,72h,17.908,23.5341,0.4315
